id,text,true_labels,pred_labels,prob_TRISTEZA,prob_ESTRES_ANSIEDAD,prob_ENFADO_IRRITACION,prob_SOBRECARGA_URGENCIA,prob_CANSANCIO_FATIGA,prob_POSITIVO_ALIVIO,prob_NEUTRO,errors,is_fallback
9000.0,"Queda pendiente revisar el anexo cuando tenga un hueco, sin urgencia.",['NEUTRO'],['NEUTRO'],0.000,0.003,0.002,0.003,0.002,0.000,0.997,OK,False
9001.0,Lo dejo apuntado para revisarlo mañana por la mañana.,['NEUTRO'],['NEUTRO'],0.000,0.003,0.002,0.002,0.002,0.000,0.998,OK,False
9002.0,Agendo la revisión del PR para el viernes si os encaja.,['NEUTRO'],['NEUTRO'],0.000,0.003,0.002,0.003,0.002,0.000,0.998,OK,False
9003.0,"Cuando podáis, echad un ojo a la documentación y me decís.",['NEUTRO'],['NEUTRO'],0.000,0.003,0.002,0.002,0.002,0.000,0.997,OK,False
9004.0,He dejado el ticket en espera de respuesta del profesor.,['NEUTRO'],['NEUTRO'],0.000,0.003,0.002,0.002,0.003,0.000,0.997,OK,False
9005.0,Actualizo la bibliografía esta semana y lo subo después.,['NEUTRO'],['NEUTRO'],0.000,0.003,0.002,0.003,0.003,0.000,0.997,OK,False
9006.0,Pendiente de confirmar la sala; os aviso en cuanto lo sepa.,['NEUTRO'],['NEUTRO'],0.000,0.003,0.003,0.002,0.002,0.000,0.997,OK,False
9007.0,Voy a enviar el PDF en cuanto termine de ajustar el formato.,['NEUTRO'],['NEUTRO'],0.000,0.001,0.001,0.151,0.001,0.000,0.837,OK,False
9008.0,Dejo esto en el backlog; no bloquea nada ahora.,['NEUTRO'],['NEUTRO'],0.000,0.003,0.002,0.002,0.002,0.000,0.997,OK,False
9009.0,Reviso los comentarios del doc esta tarde con calma.,['NEUTRO'],['NEUTRO'],0.000,0.003,0.002,0.002,0.002,0.000,0.998,OK,False
9010.0,Mañana paso la lista de tareas del sprint.,['NEUTRO'],['NEUTRO'],0.000,0.003,0.002,0.002,0.002,0.000,0.998,OK,False
9011.0,"Queda por validar la tabla de resultados, pero no corre prisa.",['NEUTRO'],['NEUTRO'],0.000,0.003,0.002,0.003,0.003,0.000,0.997,OK,False
9012.0,"He creado el PR; cuando tengáis un rato, lo revisáis.",['NEUTRO'],['NEUTRO'],0.000,0.003,0.002,0.002,0.002,0.000,0.998,OK,False
9013.0,Podemos dejar la decisión del color para la próxima reunión.,['NEUTRO'],['NEUTRO'],0.000,0.001,0.001,0.015,0.002,0.000,0.950,OK,False
9014.0,Apunto la duda y la preguntamos en la tutoría.,['NEUTRO'],['NEUTRO'],0.000,0.003,0.003,0.002,0.002,0.000,0.997,OK,False
9015.0,Subo la versión al repositorio cuando termine la limpieza.,['NEUTRO'],['NEUTRO'],0.000,0.004,0.002,0.002,0.002,0.000,0.997,OK,False
9016.0,Reviso el correo y respondo cuando esté todo claro.,['NEUTRO'],['NEUTRO'],0.000,0.003,0.002,0.002,0.002,0.000,0.997,OK,False
9017.0,La reunión la podemos mover a la semana que viene.,['NEUTRO'],['NEUTRO'],0.000,0.001,0.000,0.010,0.004,0.000,0.932,OK,False
9018.0,Dejo el acta preparada para firma cuando la veáis.,['NEUTRO'],['NEUTRO'],0.000,0.003,0.002,0.002,0.003,0.000,0.997,OK,False
9019.0,"Queda pendiente sincronizar las diapositivas, nada urgente.",['NEUTRO'],['NEUTRO'],0.000,0.003,0.002,0.003,0.002,0.000,0.997,OK,False
9020.0,"Revisaré los logs mañana, ahora no es prioritario.",['NEUTRO'],['NEUTRO'],0.000,0.003,0.002,0.003,0.002,0.000,0.997,OK,False
9021.0,"Tengo que actualizar las dependencias, pero lo haré más adelante.",['NEUTRO'],['NEUTRO'],0.000,0.002,0.002,0.006,0.002,0.000,0.996,OK,False
9022.0,Dejo este apartado marcado para revisión interna.,['NEUTRO'],['NEUTRO'],0.000,0.002,0.002,0.004,0.003,0.000,0.996,OK,False
9023.0,"Si no llegas hoy, lo vemos mañana sin problema.",['NEUTRO'],['NEUTRO'],0.000,0.003,0.002,0.003,0.002,0.000,0.997,OK,False
9024.0,"Pendiente de merge, pero podemos avanzar en paralelo.",['NEUTRO'],['NEUTRO'],0.000,0.002,0.001,0.042,0.001,0.000,0.970,OK,False
9025.0,"Cuando termine la clase, comparto el enlace por aquí.",['NEUTRO'],['NEUTRO'],0.000,0.003,0.003,0.002,0.003,0.000,0.998,OK,False
9026.0,Estoy preparando el guion de la demo; lo paso luego.,['NEUTRO'],['NEUTRO'],0.000,0.003,0.003,0.002,0.003,0.000,0.998,OK,False
9027.0,Voy completando la sección de resultados y lo subo al final.,['NEUTRO'],['NEUTRO'],0.000,0.002,0.002,0.003,0.002,0.000,0.997,OK,False
9028.0,Queda pendiente revisar el formato de entrega.,['NEUTRO'],['NEUTRO'],0.000,0.003,0.002,0.002,0.002,0.000,0.997,OK,False
9029.0,Revisamos esto en la daily de mañana y lo cerramos.,['NEUTRO'],['NEUTRO'],0.000,0.003,0.002,0.003,0.002,0.000,0.998,OK,False
