id,text,true_labels,pred_labels,prob_TRISTEZA,prob_ESTRES_ANSIEDAD,prob_ENFADO_IRRITACION,prob_SOBRECARGA_URGENCIA,prob_CANSANCIO_FATIGA,prob_POSITIVO_ALIVIO,prob_NEUTRO,errors,is_fallback
9000,"Queda pendiente revisar el anexo cuando tenga un hueco, sin urgencia.",['NEUTRO'],['NEUTRO'],0.008,0.018,0.013,0.014,0.012,0.015,0.980,OK,False
9001,Lo dejo apuntado para revisarlo mañana por la mañana.,['NEUTRO'],['NEUTRO'],0.008,0.015,0.012,0.012,0.011,0.024,0.978,OK,False
9002,Agendo la revisión del PR para el viernes si os encaja.,['NEUTRO'],['NEUTRO'],0.009,0.015,0.011,0.012,0.012,0.020,0.979,OK,False
9003,"Cuando podáis, echad un ojo a la documentación y me decís.",['NEUTRO'],['NEUTRO'],0.008,0.012,0.014,0.011,0.012,0.024,0.976,OK,False
9004,He dejado el ticket en espera de respuesta del profesor.,['NEUTRO'],['NEUTRO'],0.008,0.011,0.012,0.014,0.013,0.021,0.978,OK,False
9005,Actualizo la bibliografía esta semana y lo subo después.,['NEUTRO'],['SOBRECARGA_URGENCIA'],0.001,0.006,0.003,0.986,0.003,0.002,0.013,SOBRECARGA_URGENCIA:FP; NEUTRO:FN,False
9006,Pendiente de confirmar la sala; os aviso en cuanto lo sepa.,['NEUTRO'],['NEUTRO'],0.009,0.014,0.011,0.013,0.012,0.019,0.979,OK,False
9007,Voy a enviar el PDF en cuanto termine de ajustar el formato.,['NEUTRO'],['NEUTRO'],0.007,0.011,0.011,0.016,0.012,0.016,0.972,OK,False
9008,Dejo esto en el backlog; no bloquea nada ahora.,['NEUTRO'],['NEUTRO'],0.007,0.013,0.017,0.011,0.011,0.018,0.969,OK,False
9009,Reviso los comentarios del doc esta tarde con calma.,['NEUTRO'],['NEUTRO'],0.008,0.016,0.011,0.015,0.012,0.015,0.980,OK,False
9010,Mañana paso la lista de tareas del sprint.,['NEUTRO'],['NEUTRO'],0.009,0.013,0.010,0.014,0.014,0.019,0.979,OK,False
9011,"Queda por validar la tabla de resultados, pero no corre prisa.",['NEUTRO'],['NEUTRO'],0.011,0.013,0.011,0.015,0.012,0.020,0.981,OK,False
9012,"He creado el PR; cuando tengáis un rato, lo revisáis.",['NEUTRO'],['NEUTRO'],0.007,0.018,0.012,0.012,0.012,0.014,0.977,OK,False
9013,Podemos dejar la decisión del color para la próxima reunión.,['NEUTRO'],['NEUTRO'],0.009,0.011,0.010,0.015,0.013,0.020,0.979,OK,False
9014,Apunto la duda y la preguntamos en la tutoría.,['NEUTRO'],['NEUTRO'],0.008,0.011,0.013,0.013,0.013,0.035,0.974,OK,False
9015,Subo la versión al repositorio cuando termine la limpieza.,['NEUTRO'],['NEUTRO'],0.007,0.015,0.011,0.017,0.011,0.016,0.978,OK,False
9016,Reviso el correo y respondo cuando esté todo claro.,['NEUTRO'],['NEUTRO'],0.006,0.015,0.013,0.022,0.009,0.017,0.976,OK,False
9017,La reunión la podemos mover a la semana que viene.,['NEUTRO'],['NEUTRO'],0.008,0.013,0.012,0.012,0.014,0.025,0.977,OK,False
9018,Dejo el acta preparada para firma cuando la veáis.,['NEUTRO'],['NEUTRO'],0.008,0.013,0.010,0.015,0.013,0.019,0.979,OK,False
9019,"Queda pendiente sincronizar las diapositivas, nada urgente.",['NEUTRO'],['NEUTRO'],0.007,0.023,0.034,0.004,0.009,0.023,0.927,OK,False
9020,"Revisaré los logs mañana, ahora no es prioritario.",['NEUTRO'],['NEUTRO'],0.008,0.018,0.009,0.015,0.012,0.014,0.978,OK,False
9021,"Tengo que actualizar las dependencias, pero lo haré más adelante.",['NEUTRO'],['NEUTRO'],0.004,0.007,0.011,0.108,0.004,0.011,0.914,OK,False
9022,Dejo este apartado marcado para revisión interna.,['NEUTRO'],['NEUTRO'],0.008,0.015,0.010,0.013,0.012,0.026,0.975,OK,False
9023,"Si no llegas hoy, lo vemos mañana sin problema.",['NEUTRO'],['NEUTRO'],0.006,0.011,0.012,0.022,0.012,0.016,0.974,OK,False
9024,"Pendiente de merge, pero podemos avanzar en paralelo.",['NEUTRO'],['NEUTRO'],0.009,0.014,0.012,0.016,0.012,0.018,0.981,OK,False
